id,name,artist_id,year,popularity,release_date,energy,danceability,instrumentalness,loudness,tempo,valence
1CsMKhwEmNnmvHUuO5nryA,SKINNY,6qqNVTkY8uBg9cP3Jd7DAH,2024,83,2024-05-17,0.252,0.251,0.00706,-14.478,69.988,0.0395
55u5QIlEuzCipJBtZPdJio,Renaissance,7dGJo4pcD2V6oG8kP0tJRR,2024,82,2024-07-12,0.901,0.562,0.0,-4.166,199.226,0.241
4HMUrFl8y6rQCzEbaGEkcj,Somebody Save Me,7dGJo4pcD2V6oG8kP0tJRR,2024,81,2024-07-12,0.657,0.577,3.2e-06,-6.486,180.727,0.437
3FqUPvubYeRCMsdJ02QyZR,TÚ NAME,0ys2OFYzWYB5hRDLCsBqxt,2024,84,2024-02-09,0.747,0.76,2.73e-06,-5.083,128.912,0.884
7I3RalBqE7ZE0RSxgGlGlm,Habits,7dGJo4pcD2V6oG8kP0tJRR,2024,82,2024-07-12,0.878,0.824,0.0,-5.02,100.005,0.645
1ACA277B6f46DYCgZW8di3,if u think i'm pretty,0PCCGZ0wGLizHt2KZ7hhA2,2024,84,2024-02-09,0.622,0.535,0.0209,-5.771,143.533,0.457
6vvPecFTmWxDfEJ6cYT1wa,Rockstar,5L1lO4eRHmJ7a0Q6csE5cT,2024,92,2024-06-27,0.628,0.668,0.0,-4.692,140.053,0.568
1LLUoftvmTjVNBHZoQyveF,THE DINER,6qqNVTkY8uBg9cP3Jd7DAH,2024,83,2024-05-17,0.386,0.857,0.0931,-9.761,125.017,0.661
7mOC6phfrfz3jfigg1aGsE,Wanna Be (with Megan Thee Stallion),2qoQgPAilErOKCwE2Y8wOG,2024,78,2024-04-05,0.629,0.919,0.0,-5.17,135.05,0.407
1CDQzbCz4KSQxHe7LMEgRM,Houdini,7dGJo4pcD2V6oG8kP0tJRR,2024,84,2024-07-12,0.878,0.936,2.31e-06,-2.798,126.992,0.902
09keT5ocFhEd5W5HidiUNq,Chk Chk Boom,2dIgFjalVxs4ThymZ67YCE,2024,87,2024-07-19,0.74,0.925,0.0,-2.698,101.994,0.844
0YThXX1dqUpYBLyJNAsF9N,If We Being Rëal,3qiHUAX7zY4Qnjx8TNUzVx,2024,84,2024-02-16,0.499,0.457,6.34e-05,-6.67,127.95,0.0348
0LZy30mVmxqUpdQmaXKXBd,ADIVINO,7iK8PXO48WeuP03g8YR51W,2024,88,2024-04-25,0.854,0.786,2.39e-05,-2.4,117.994,0.522
68mOSKT4uBkKddEAhlMO61,Home,52N3KGrTWDRhdQJrgBTofE,2024,82,2024-01-17,0.673,0.584,0.0614,-4.444,77.002,0.138
0QpiyJbgWUjyAQNqjIA5tO,Hate Me,6icQOAFXDZKsumw3YXyusw,2024,78,2024-07-26,0.625,0.638,0.732,-6.909,140.047,0.105
2YFhqZvhTpyK13gKXMKV7R,"Girl, so confusing featuring lorde",25uiPmTg16RbhZWAqwLBy5,2024,82,2024-06-21,0.823,0.692,0.00802,-7.209,124.964,0.458
4jIy1KWDGEptJGq94tqB5Y,The Way Back,40ZNYROS4zLfyyBSs2PGe2,2024,77,2024-07-04,0.492,0.543,0.000163,-8.313,79.886,0.178
4uzKAj0mIyYmyhsRRyPXaQ,Carry You Home,0fTSzq9jAh4c36UVb4V7CB,2024,84,2024-05-31,0.66,0.525,3.3e-06,-7.094,123.787,0.458
36wAwEkSDpNQ4oQeRLYC3L,Am I Okay?,5Ppie0uPnbnvGBYRwYmlt0,2024,76,2024-07-12,0.734,0.593,0.0,-5.416,125.937,0.518
22yRHdYBLZMi7xnvBioqkP,SLUT ME OUT 2,0ErzCpIMyLcjPiwT4elrtZ,2024,79,2024-04-12,0.624,0.718,0.0,-6.666,127.929,0.456
6tNgRQ0K2NYZ0Rb9l9DzL8,obsessed,1McMsnEElThX1knmY4oliG,2024,81,2024-03-22,0.581,0.68,1.07e-06,-5.166,119.974,0.63
0hKtu53OlIFXVuYkZwcn3o,Cinderella,1RyvyyTE3xzB2ZywiAwp0i,2024,80,2024-03-22,0.412,0.876,0.0,-7.74,130.052,0.15
26QJuQfM8PVAWkIm1JRyqq,ss,3gBZUcNeVumkeeJ19CY2sX,2024,78,2024-07-05,0.662,0.501,6.64e-05,-7.161,137.625,0.0348
3XbIhTYl6a0uXPyO43eiXa,Oak Island,40ZNYROS4zLfyyBSs2PGe2,2024,76,2024-07-04,0.628,0.351,0.00656,-6.498,170.264,0.387
77pfjsq0gSZwO8bYVTVROo,Brand New Dance,7dGJo4pcD2V6oG8kP0tJRR,2024,81,2024-07-12,0.705,0.808,0.0,-5.332,119.977,0.656
1BJJbSX6muJVF2AK7uH1x4,Move,2loEsOijJ6XiGzWYFXMIRk,2024,91,2024-06-07,0.782,0.727,0.336,-8.529,119.992,0.655
2MjXWroB9wlTG2kqv3avfS,Get It Sexyy,3DbwFQlvLxRSi2uX8mf81A,2024,77,2024-03-15,0.64,0.811,0.0,-5.63,145.031,0.527
46kspZSY3aKmwQe7O77fCC,we can't be friends (wait for your love),66CXWjxzNUsdJxJ2JdwvnR,2024,84,2024-03-08,0.646,0.645,3.04e-05,-8.334,115.842,0.295
1aKvZDoLGkNMxoRYgkckZG,Magnetic,36cgvBn0aadzOijnjjwqMN,2024,87,2024-03-25,0.668,0.797,0.0,-5.819,131.067,0.69
2F3N9tdombb64aW6VtZOdo,Down Bad,06HL4z0CvFAxyc27GXpf02,2024,81,2024-04-18,0.366,0.541,1e-06,-10.412,159.707,0.168
1vJCkmbu3YzIe6NjXS9BXX,Wine Into Whiskey,4sCKpwwEsgReZxjtKFm2A0,2024,76,2024-02-23,0.699,0.712,0.00271,-5.251,149.949,0.3
0gZGUAO42F1HmzZWHNPGAu,Risk,4tuJ0bMpJh08umKkEXKUI5,2024,80,2024-06-21,0.496,0.716,0.0,-5.989,113.015,0.559
2fPvQfGQEZOKtJ9qXeL4x8,I Can Do It With a Broken Heart,06HL4z0CvFAxyc27GXpf02,2024,81,2024-04-19,0.751,0.701,0.0,-8.39,129.994,0.22
0PBTlQ84CBJF0tBnKGmQa6,FRI(END)S,3JsHnjpbhX4SnySpvpa9DK,2024,89,2024-03-15,0.601,0.466,0.0,-4.468,53.376,0.627
3JzVK0f8gqAAjyEDyXAys4,Sandpaper (feat. Bruce Springsteen),40ZNYROS4zLfyyBSs2PGe2,2024,76,2024-07-04,0.526,0.518,0.000168,-8.467,86.845,0.195
6saYisCUAZXc505blie9kZ,Otaku Hot Girl,181bsRPaVXVlUKXrxwZfHK,2024,77,2024-06-28,0.756,0.757,0.0,-3.198,157.989,0.505
2M8IvrzqvNMAJsAx7UYwXK,Bass Boat,40ZNYROS4zLfyyBSs2PGe2,2024,76,2024-07-04,0.192,0.527,0.00157,-14.979,81.73,0.18
7Mts0OfPorF4iwOomvfqn1,So High School,06HL4z0CvFAxyc27GXpf02,2024,81,2024-04-19,0.866,0.366,3.07e-06,-4.514,176.07,0.293
799KrpEbhZp0MHeiA8YK9P,Guilty as Sin?,06HL4z0CvFAxyc27GXpf02,2024,81,2024-04-19,0.428,0.626,0.0,-8.374,94.95,0.487
5AH31dDNgxCMGDdxubNNn4,NEL,0ys2OFYzWYB5hRDLCsBqxt,2024,83,2024-07-25,0.482,0.69,0.0004,-6.335,100.029,0.356
6EUcP55GlbmsmCzfL2vxtZ,on one tonight,2hlmm7s2ICUX0LVIhVFlZQ,2024,79,2024-05-10,0.727,0.887,1.16e-06,-4.318,130.035,0.932
