artist_id,artist_name,popularity,genres,year,simplified_genre
4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,78,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",2021,Pop
0VRj0yCOv2FXJNP47XQnx5,Quavo,80,"['atl hip hop', 'melodic rap', 'rap', 'trap']",2021,Hip Hop
2QsynagSdAqZj3U9HgDzjD,Bob Marley & The Wailers,82,"['reggae', 'roots reggae']",2021,Reggae
3win9vGIxFfBRag9S63wwf,Bailey Zimmerman,75,"['contemporary country', 'modern country pop']",2021,Country
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,84,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",2021,House
1r4hJ1h58CWwUQe3MxPuau,Maluma,85,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2021,Pop
3l9G1G9MxH6DaRhwLklaf5,Oscar Maydon,84,"['corrido', 'sierreno']",2021,Other
5H4yInM5zmHqpKIoMNAx4r,Central Cee,83,"['melodic drill', 'r&drill']",2021,Other
3DbwFQlvLxRSi2uX8mf81A,Sexyy Red,76,['trap queen'],2021,Rap
6Sbl0NT50roqWvy746MfVf,Gabito Ballesteros,83,"['corrido', 'sierreno']",2021,Other
6deZN1bslXzeGvOLaLMOIF,Nickelback,79,"['alternative metal', 'canadian rock', 'post-grunge']",2021,Metal
3aQeKQSyrW4qWr35idm0cy,T-Pain,78,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",2021,Pop
6fOMl44jA4Sp5b9PpYCkzz,NF,78,"['hip hop', 'pop rap']",2021,Hip Hop
6FBDaR13swtiWwGhX1WQsP,blink-182,78,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",2021,Metal
6Cqtx9fpxzggIMuKn0RGCp,Dream Supplier,79,[],2021,Other
5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,83,"['bachata', 'latin hip hop', 'latin pop', 'urbano latino']",2021,Hip Hop
0c173mlxpT3dSFRgMO8XPh,Big Sean,78,"['detroit hip hop', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",2021,Hip Hop
2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams,80,"['dance pop', 'pop']",2021,Pop
6LqNN22kT3074XbTVUrhzX,Kesha,79,"['dance pop', 'pop']",2021,Pop
48zEowASEXWsK6lgP1xotZ,Baby Sleeps,79,[],2021,Other
2QMsj4XJ7ne2hojxt6v5eb,Riley Green,75,"['contemporary country', 'modern country pop']",2021,Country
5R9eOlQf7HGzD6srMeJKio,Solfeggio Healing Frequencies MT,77,"['healing hz', 'meditation', 'solfeggio product']",2021,Other
2qoQgPAilErOKCwE2Y8wOG,GloRilla,76,['southern hip hop'],2021,Hip Hop
1zNqQNIdeOUZHb8zbZRFMX,Swae Lee,80,"['melodic rap', 'rap', 'trap']",2021,Rap
6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre,80,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",2021,Funk
6zFYqv1mOsgBRQbae3JJ9e,Billy Joel,78,"['album rock', 'classic rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",2021,Rock
0z4gvV4rjIZ9wHck67ucSV,Akon,82,['dance pop'],2021,Pop
2wY79sveU1sp5g7SokKOiI,Sam Smith,83,"['pop', 'uk pop']",2021,Pop
3FfvYsEGaIb52QPXhg4DcH,Jason Aldean,74,"['contemporary country', 'country', 'country road', 'modern country rock']",2021,Country
5vngPClqofybhPERIqQMYd,George Strait,74,"['contemporary country', 'country', 'country road']",2021,Country
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,79,"['album rock', 'british invasion', 'classic rock', 'rock']",2021,Rock
21E3waRsmPlU7jZsS13rcj,Ne-Yo,81,"['dance pop', 'pop', 'r&b', 'urban contemporary']",2021,Pop
7nixcnKd43u9a29ZMawfnh,Background White Noise,78,['white noise'],2021,Noise
6x2LnllRG5uGarZMsD4iO8,Thomas Rhett,74,"['contemporary country', 'country', 'country road', 'modern country rock']",2021,Country
6V5fHkuCfZknzDBr5Wm7Rj,leftovermax,81,[],2021,Other
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,79,"['deep underground hip hop', 'hip hop', 'kentucky hip hop', 'pop rap', 'rap']",2021,Hip Hop
26dSoYclwsYLMAKD3tpOr4,Britney Spears,81,"['dance pop', 'pop']",2021,Pop
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,82,['pop'],2021,Pop
74XFHRwlV6OrjEM0A2NCMF,Paramore,78,"['candy pop', 'modern rock', 'pixie', 'pop', 'pop emo', 'pop punk', 'rock']",2021,Pop
77kULmXAQ6vWer7IIHdGzI,Jordan Davis,74,['contemporary country'],2021,Country
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,83,"['canadian pop', 'pop', 'viral pop']",2021,Pop
